ISIN,data,valor
AT0000613286,2023-07-17,14.85
DE0009797415,2023-07-17,1011.93
DE0009797423,2023-07-17,1794.58
DE0009797514,2023-07-17,239.4
DE0009797522,2023-07-17,2304.43
DE0009797548,2023-07-17,106.32
DE0009797589,2023-07-17,1173.04
DE0009797621,2023-07-17,48.91
DE0009797639,2023-07-17,79.47
DE0009797654,2023-07-17,81.84
DE000A0F5UE8,2023-07-17,38.38
DE000A0H08P6,2023-07-17,36.4
DE000A0H08S0,2023-07-17,22.32
DE000A0M0309,2023-07-17,65.43
DE000A0M03U7,2023-07-17,58.7
DE000A0M03V5,2023-07-17,60.19
DE000A0MJRM3,2023-07-17,73022.54
DE000A0Q4R44,2023-07-17,11.72
DE000A0Q4R69,2023-07-17,5.08
DE000A0Q4RZ9,2023-07-17,73.04
DE000A0RL2V3,2023-07-17,80.37
DE000A14N9R3,2023-07-17,154.9
DE000A14N9U7,2023-07-17,1055.97
DE000A14N9Y9,2023-07-17,1290.42
DE000A1W9BL3,2023-07-17,53.83
DE000A2AMPM2,2023-07-17,1805.17
DE000A2AMPN0,2023-07-17,1511.34
DE000A2AMPR1,2023-07-17,983.71
DE0009797274,2023-07-17,146.99
DE000A2AMPU5,2023-07-17,143.45
DE0009797266,2023-07-17,116.65
DE0009797217,2023-07-17,42.35
CH0487119098,2023-07-17,1030.79
CH0565892848,2023-07-17,133.5401
CH0594527746,2023-07-17,921.57
CH0594826155,2023-07-17,101.25
CH0594826163,2023-07-17,96.78
CH0596284569,2023-07-17,107997.58
CH1119458839,2023-07-17,104.2692
CH1137244187,2023-07-17,905.49
DE0005933923,2023-07-17,228.62
DE0006289481,2023-07-17,90.92
DE0008470337,2023-07-17,173.78
DE0008470477,2023-07-17,156.9
DE0008471020,2023-07-17,113.45
DE0008471038,2023-07-17,133.41
DE0008471087,2023-07-17,197.4
DE0008471228,2023-07-17,159.72
DE0008475005,2023-07-17,127.15
DE0008475021,2023-07-17,135.03
DE0008475039,2023-07-17,144.63
DE0008475062,2023-07-17,204.18
DE0008475120,2023-07-17,457.4
DE0008476250,2023-07-17,64.46
DE0008480468,2023-07-17,115.89
DE0008481763,2023-07-17,275.65
DE0008481821,2023-07-17,164.95
DE0009779884,2023-07-17,150.95
DE0009797209,2023-07-17,46.84
DE0009797233,2023-07-17,44.08
DE000A2ATB32,2023-07-17,1044.11
DE000A2ATB40,2023-07-17,103.19
DE000A2ATB73,2023-07-17,105.75
DK0061544848,2023-07-17,155.93
DK0061545571,2023-07-17,162.46
DK0061546116,2023-07-17,89.76
DK0061668571,2023-07-17,101.45
DK0061799673,2023-07-17,109.39
DK0061799830,2023-07-17,1.1
DK0061800273,2023-07-17,1.11
FI0008813290,2023-07-17,239.4328
FI0008813308,2023-07-17,244.3929
FI0008813332,2023-07-17,7.163
FI0008813399,2023-07-17,2.8461
FI4000064084,2023-07-17,264.3182
FR0000291239,2023-07-17,22364.36
FR0007009808,2023-07-17,23123.357
FR0010251660,2023-07-17,234630.1295
FR0010337667,2023-07-17,56827.4534
FR0010342592,2023-07-17,740.12
FR0010405431,2023-07-17,1.4004
FR0010410696,2023-07-17,1110.8062
FR0010411884,2023-07-17,0.8765
FR0010429068,2023-07-17,11.0554
FR0010446666,2023-07-17,0.6339
FR0010510800,2023-07-17,104.6349
FR0010655746,2023-07-17,18856.0
FR0010655761,2023-07-17,19938.0
FR0010693689,2023-07-17,2405.8448
FR0011221936,2023-07-17,1008.5
DK0061544335,2023-07-17,190.03
DK0061544178,2023-07-17,139.08
DK0061542719,2023-07-17,172.14
DK0061542206,2023-07-17,158.21
DE000A2ATB81,2023-07-17,120.24
DE000A2ATB99,2023-07-17,1274.29
DE000A2ATCA0,2023-07-17,142.55
DE000A2DU1G9,2023-07-17,85.12
DE000A2DU1L9,2023-07-17,102.35
DE000A2DU1M7,2023-07-17,1128.4
DE000A2DU1P0,2023-07-17,1116.4
DE000A2DU1R6,2023-07-17,866.4
