US97717W1255;AuM Fund;AuM Fund Date;AuM Share Class;AuM Share Class Date;Bid NAV;Bid NAV Date;Ask NAV;Ask NAV Date;Valuation NAV;Valuation NAV Date;Transaction NAV;Transaction NAV Date;NoS Fund Date;NoS Share Class;NoS Share Class Date;NoS Fund;FE Bid;FE Bid Date;FE Offer;FE Offer Date;FE NAV;FE NAV Date;FE Generic NAV;FE Generic NAV Date;FE AUM Fund Date;FE AUM Share Class;FE AUM Share Class Date;FE NOS Fund;FE NOS Fund Date;FE NOS Share Class;FE NOS Share Class Date;Citi Code;Fund Code;Dynamic Currency;FE AUM Fund;FE Mid;FE Mid Date;FE Total Return NAV;FE Total Return NAV Date;Amount of Shares Redeemed Fund;Amount of Shares Redeemed Share Class;Amount of Shares Subscribed Fund;Amount of Shares Subscribed Share Class;Number of Shares Redeemed Fund;Number of Shares Redeemed Share Class;Number of Shares Subscribed Fund;Number of Shares Subscribed Share Class
US67776G5430;100496403.67;31/05/2024;19313180.07;31/05/2024;;;;;132.173;31/05/2024;;;31/05/2024;146.120.207.400.000;31/05/2024;864.562.395.900.000;;;;;132.173;31/05/2024;132.173;31/05/2024;31/05/2024;19313180.07;31/05/2024;864.562.395.900.000;31/05/2024;146.120.207.400.000;31/05/2024;002F;N4FB0;EUR;100496403.67;132.173;31/05/2024;132.173;31/05/2024;;;;;;;;
US52472T7596;184449493.81;30/04/2024;25532354.87;31/01/2022;;;;;14.89;31/05/2024;;;;172.860.354.100.000;08/04/2024;;;;;;14.89;31/05/2024;14.89;31/05/2024;30/04/2024;25532354.87;31/01/2022;;;172.860.354.100.000;08/04/2024;002P;J5FS0;EUR;184449493.81;14.89;31/05/2024;14.89;31/05/2024;;;;;;;;
US52469H6365;102568627.24;30/05/2024;56805261.72;30/05/2024;;;;;9660.98;30/05/2024;;;;587.986.600.000;30/05/2024;;;;;;9660.98;30/05/2024;9660.98;30/05/2024;30/05/2024;56805261.72;30/05/2024;;;587.986.600.000;30/05/2024;002R;KLFQ1;EUR;102568627.24;9660.98;30/05/2024;9660.98;30/05/2024;;;;;;;;
US52469F5807;447222213.58;31/05/2024;44199702.31;31/05/2024;;;;;;;30.76;31/05/2024;;143.705.346.800.000;31/05/2024;;;;;;30.76;31/05/2024;30.76;31/05/2024;31/05/2024;44199702.31;31/05/2024;;;143.705.346.800.000;31/05/2024;002T;Y4F83;USD;447222213.58;30.76;31/05/2024;322.634;31/05/2024;;;;;;;;
US5246866728;447222213.58;31/05/2024;22473526.00;31/05/2024;;;;;;;40.21;31/05/2024;;55.896.004.500.000;31/05/2024;;;;;;40.21;31/05/2024;40.21;31/05/2024;31/05/2024;22473526.00;31/05/2024;;;55.896.004.500.000;31/05/2024;002U;Y4F83;EUR;447222213.58;40.21;31/05/2024;40.21;31/05/2024;;;;;;;;
US5246863675;48051404.36;31/05/2024;7848120.99;31/05/2024;;;;;11.53;31/05/2024;;;;68.094.300.000.000;31/05/2024;;;;;;11.53;31/05/2024;11.53;31/05/2024;31/05/2024;7848120.99;31/05/2024;;;68.094.300.000.000;31/05/2024;002V;TFF37;USD;48051404.36;11.53;31/05/2024;11.53;31/05/2024;;;;;;;;
US48121L5286;334658648.86;31/05/2024;4502925.50;31/05/2024;;;;;8.51;31/05/2024;;;;52.884.128.000.000;31/05/2024;;;;;;8.51;31/05/2024;8.51;31/05/2024;31/05/2024;4502925.50;31/05/2024;;;52.884.128.000.000;31/05/2024;004D;00F4C;USD;334658648.86;8.51;31/05/2024;143.069;31/05/2024;;;;;;;;
US48121L5104;334658648.86;31/05/2024;175237137.92;31/05/2024;;;;;8.55;31/05/2024;;;;2.049.688.822.300.000;31/05/2024;;;;;;8.55;31/05/2024;8.55;31/05/2024;31/05/2024;175237137.92;31/05/2024;;;2.049.688.822.300.000;31/05/2024;004E;00F4C;USD;334658648.86;8.55;31/05/2024;157.635;31/05/2024;;;;;;;;
US46429B6552;630073696.69;31/05/2024;;;;;;;220.32;31/05/2024;;;;11.290.000.000.000;31/05/2024;;;;;;220.32;31/05/2024;220.32;31/05/2024;31/05/2024;;;;;11.290.000.000.000;31/05/2024;008L;NAFI6;EUR;630073696.69;220.32;31/05/2024;220.32;31/05/2024;;;;;;;;
US4642864759;57694652.09;31/05/2024;;;;;;;168.13;31/05/2024;;;;34.314.500.000.000;31/05/2024;;;;;;168.13;31/05/2024;168.13;31/05/2024;31/05/2024;;;;;34.314.500.000.000;31/05/2024;009G;00F9G;EUR;57694652.09;168.13;31/05/2024;1.768.163;31/05/2024;;;;;;;;
